epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.995,1.34076,2.38926,1.4942,0.16741,0.62302,0.17102,0.08833,1.70583,inf,2.08322,0.000467346,0.000467346,0.000467346
2,161.343,1.58536,1.791,1.70311,0.00566,0.04425,0.00161,0.00106,nan,nan,nan,0.000943449,0.000943449,0.000943449
3,244.751,1.65232,1.76739,1.73557,0.08076,0.05937,0.01635,0.00578,4.5388,612.718,27.2548,0.00141863,0.00141863,0.00141863
4,327.677,1.70277,1.7962,1.75586,0.43346,0.42489,0.36026,0.18462,1.89937,4.15006,2.08127,0.00142586,0.00142586,0.00142586
5,416.181,1.58773,1.60341,1.68233,0.59009,0.55635,0.56232,0.3367,1.66356,2.72027,1.82841,0.00142342,0.00142342,0.00142342
6,504.89,1.59445,1.59824,1.66758,0.71838,0.51393,0.58077,0.33238,1.65354,2.0405,1.71975,0.00142029,0.00142029,0.00142029
7,587.262,1.54208,1.50587,1.64718,0.47399,0.53912,0.52054,0.26347,1.92171,1.8398,1.96849,0.00141647,0.00141647,0.00141647
8,670.463,1.50103,1.41161,1.61011,0.82204,0.58632,0.6875,0.37966,1.70449,1.48567,1.65873,0.00141196,0.00141196,0.00141196
9,762.518,1.4785,1.33655,1.57226,0.78967,0.64138,0.71038,0.41899,1.56123,1.36469,1.56859,0.00140678,0.00140678,0.00140678
10,850.937,1.45145,1.34143,1.57956,0.89864,0.69986,0.76664,0.47145,1.4403,1.25998,1.47252,0.00140091,0.00140091,0.00140091
11,941.811,1.39344,1.21071,1.51522,0.7191,0.70571,0.73158,0.47519,1.40386,1.24805,1.45498,0.00139438,0.00139438,0.00139438
12,1029.08,1.41834,1.22865,1.53242,0.87363,0.73072,0.80384,0.50114,1.38997,1.17064,1.45073,0.00138718,0.00138718,0.00138718
13,1118.95,1.41789,1.23597,1.52509,0.82158,0.70849,0.77681,0.44711,1.62024,1.1815,1.57861,0.00137933,0.00137933,0.00137933
14,1201.59,1.38703,1.18105,1.53917,0.82422,0.76959,0.77991,0.46494,1.53677,1.09228,1.47379,0.00137082,0.00137082,0.00137082
15,1284.57,1.35957,1.16351,1.49102,0.85031,0.72075,0.77678,0.44828,1.63172,1.27002,1.56926,0.00136168,0.00136168,0.00136168
16,1365.4,1.36933,1.18782,1.50303,0.90363,0.73883,0.80439,0.4523,1.63354,1.11063,1.58723,0.0013519,0.0013519,0.0013519
17,1447.45,1.33611,1.11428,1.45221,0.86191,0.77055,0.82749,0.50604,1.45787,1.01287,1.44779,0.0013415,0.0013415,0.0013415
18,1538.56,1.27906,1.04227,1.42504,0.92444,0.71083,0.82347,0.4804,1.57289,1.04327,1.56079,0.0013305,0.0013305,0.0013305
19,1618.88,1.32961,1.06649,1.45135,0.90671,0.68347,0.7605,0.45738,1.56689,1.21225,1.53896,0.00131888,0.00131888,0.00131888
20,1701.91,1.2947,1.04705,1.43536,0.87995,0.75446,0.83852,0.4986,1.46818,0.98258,1.45797,0.00130668,0.00130668,0.00130668
21,1784.61,1.28882,1.04431,1.44407,0.92486,0.77677,0.85534,0.58764,1.22178,0.96756,1.30455,0.00129391,0.00129391,0.00129391
22,1876.25,1.26508,0.98764,1.42692,0.90071,0.8112,0.8788,0.5146,1.54211,0.83492,1.46661,0.00128057,0.00128057,0.00128057
23,1958.41,1.30309,1.03586,1.45706,0.89803,0.76663,0.84406,0.54837,1.34927,0.95446,1.39072,0.00126667,0.00126667,0.00126667
24,2042.65,1.27012,1.0141,1.43195,0.88456,0.68424,0.75913,0.48078,1.48802,1.17917,1.49123,0.00125224,0.00125224,0.00125224
25,2125.18,1.26732,1.01346,1.41768,0.86225,0.75496,0.80147,0.50993,1.45339,1.11106,1.47233,0.00123728,0.00123728,0.00123728
26,2205.84,1.27142,1.00512,1.42702,0.91747,0.76755,0.85256,0.56007,1.34977,0.95632,1.39405,0.00122182,0.00122182,0.00122182
27,2287.86,1.25982,0.95723,1.42245,0.87658,0.75946,0.8104,0.49266,1.53578,1.01514,1.52446,0.00120586,0.00120586,0.00120586
28,2371.55,1.23115,0.94517,1.40065,0.91031,0.79317,0.84819,0.54484,1.37999,0.90383,1.39659,0.00118943,0.00118943,0.00118943
29,2453.69,1.21232,0.91524,1.38512,0.93646,0.81854,0.87762,0.58523,1.27162,0.75923,1.33347,0.00117253,0.00117253,0.00117253
30,2542.43,1.23979,0.93577,1.40026,0.85788,0.72708,0.79894,0.48684,1.53517,1.01293,1.48705,0.00115519,0.00115519,0.00115519
31,2623.54,1.17534,0.8925,1.35067,0.93592,0.81056,0.86418,0.55128,1.35971,0.82747,1.34703,0.00113742,0.00113742,0.00113742
32,2710,1.21702,0.90931,1.40615,0.92891,0.8323,0.89231,0.56865,1.38161,0.76039,1.36649,0.00111924,0.00111924,0.00111924
33,2791.46,1.22334,0.96647,1.39074,0.86046,0.75191,0.80949,0.547,1.3183,0.92983,1.39713,0.00110066,0.00110066,0.00110066
34,2874.32,1.20737,0.90061,1.37251,0.97235,0.79603,0.89413,0.56578,1.38202,0.77516,1.33403,0.00108172,0.00108172,0.00108172
35,2957.73,1.20343,0.88506,1.36393,0.963,0.77324,0.86568,0.51385,1.53973,0.8555,1.49679,0.00106242,0.00106242,0.00106242
36,3039.08,1.13871,0.84336,1.35795,0.94378,0.76726,0.86351,0.55016,1.40449,0.79579,1.38422,0.00104278,0.00104278,0.00104278
37,3122.65,1.18216,0.86153,1.35184,0.95764,0.81365,0.87866,0.59694,1.24735,0.82469,1.30024,0.00102282,0.00102282,0.00102282
38,3210.33,1.14929,0.80537,1.32227,0.85243,0.76143,0.8014,0.52775,1.34078,0.98103,1.4099,0.00100257,0.00100257,0.00100257
39,3292.7,1.15837,0.82392,1.33666,0.93709,0.82678,0.91286,0.61269,1.3041,0.67779,1.28746,0.00098204,0.00098204,0.00098204
40,3383.37,1.13272,0.79137,1.31994,0.94935,0.78091,0.88856,0.59597,1.23724,0.74618,1.28459,0.000961253,0.000961253,0.000961253
41,3464.5,1.13936,0.81175,1.31588,0.93125,0.81399,0.88437,0.59703,1.30723,0.7573,1.28821,0.00094023,0.00094023,0.00094023
42,3549.3,1.1177,0.79807,1.30317,0.94053,0.82312,0.91117,0.6512,1.13613,0.66216,1.19558,0.000918991,0.000918991,0.000918991
43,3638.49,1.11041,0.78369,1.31674,0.91767,0.86933,0.91309,0.60303,1.31931,0.66768,1.27614,0.000897557,0.000897557,0.000897557
44,3719.61,1.12962,0.7958,1.31289,0.94919,0.82031,0.90201,0.63037,1.17822,0.71268,1.2605,0.00087595,0.00087595,0.00087595
45,3801.26,1.11475,0.8019,1.31295,0.93681,0.85165,0.92101,0.63796,1.21837,0.64252,1.23908,0.00085419,0.00085419,0.00085419
